Track,Side,Title,Writers,Length,Seconds,Chords
01,A,Blitzkrieg Bop,Tommy|Dee Dee,2:12,132,A|D|E|B
02,A,Beat on the Brat,Joey,2:30,150,B|E|F#|A
03,A,Judy is a Punk,Joey,1:30,90,D#|G#|A#
04,A,I Wanna Be Your Boyfriend,Tommy,2:24,144,E|A|B|C#m
05,A,Chain Saw,Joey,1:55,115,A|F#|B|E
06,A,Now I Wanna Sniff Some Glue,Dee Dee,1:34,94,A|G|F|E
07,A,I Don't Wanna Go Down to the Basement,Dee Dee|Johnny,2:35,155,E|B|D|A|C|G|F
08,B,Loudmouth,Dee Dee|Johnny,2:14,134,B|G|A|E|D|C
09,B,Havana Affair,Dee Dee|Johnny,2:00,120,A|B|E|F#|G|D
10,B,Listen to My Heart,Dee Dee,1:56,116,E|D|A|G|G#|C#|B
11,B,53rd & 3rd,Dee Dee,2:19,139,E|D|A|G|B
12,B,Let's Dance,Jim Lee (Chris Montez),1:51,111,G|C|D|B|F
13,B,I Don't Wanna Walk Around with You,Dee Dee,1:43,103,E|G|A|D
14,B,Today Your Love Tomorrow the World,Dee Dee,2:09,129,C|G|E|D|A
